time	50%	2.5%	97.5%
1	-1e-50	0	0	0
2	0	0.0328767123287683	0.0328767123287683	0.0328767123287683
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0.00547945205479472	6.49315068493149	6.49315068493149	6.49315068493149
7	0.654794520547943	0.402739726027393	0.402739726027393	0.402739726027393
8	0.654794520547943	0	0	0
9	0.673972602739723	5.67671232876712	5.67671232876712	5.67671232876712
10	0.876712328767121	0.986301369863018	0.986301369863018	0.986301369863018
11	0.904109589041093	8.3835616438356	8.3835616438356	8.3835616438356
12	1.09041095890411	59.2931506849314	59.2931506849314	59.2931506849314
13	3.12602739726027	4.84109589041097	4.84109589041097	4.84109589041097
